Argentina,1.879825445,2.479851209
Australia,0.503524673,0.371977681
Brazil,13.42732461,4.959702418
China,3.021148036,3.099814011
Columbia,2.416918429,1.487910725
Germany,1.342732461,3.471791692
India,12.08459215,10.53936764
Indonesia,9.399127224,2.479851209
Italy,1.342732461,1.735895846
Japan,0.201409869,0.371977681
Russia,10.74185968,9.919404836
South Korea,4.699563612,0.309981401
Spain,1.879825445,2.231866088
United Kingdom,1.477005707,1.983880967
United States,26.85464921,49.59702418
Venezuela,8.727760994,4.959702418
